,index,ArticleID,Journal,PubDate
0,11695,11725,EJ,1957
0,11696,11726,JPE,1957
0,11697,11727,JPE,1957
0,11698,11728,JPE,1957
0,11699,11729,JPE,1957
0,11700,11730,JPE,1957
0,11701,11731,JPE,1957
0,11702,11732,JPE,1957
0,11703,11733,JPE,1957
0,11704,11734,JPE,1957
0,11705,11735,JPE,1957
0,11706,11736,JPE,1957
0,11707,11737,JPE,1957
0,11708,11738,JPE,1957
0,11709,11739,JPE,1957
0,11710,11740,JPE,1957
0,11711,11741,JPE,1957
0,11712,11742,JPE,1957
0,11713,11743,JPE,1957
0,11714,11744,JPE,1957
0,11715,11745,JPE,1957
0,11716,11746,JPE,1957
0,11717,11747,JPE,1957
0,11718,11748,JPE,1957
0,11719,11749,JPE,1957
0,11720,11750,JPE,1957
0,11721,11751,JPE,1957
0,11722,11752,JPE,1957
0,11723,11753,JPE,1957
0,11724,11754,JPE,1957
0,11725,11755,JPE,1957
0,11726,11756,JPE,1957
0,11727,11757,JPE,1957
0,11728,11758,JPE,1957
0,11729,11759,JPE,1957
0,11730,11760,JPE,1957
0,11731,11761,JPE,1957
0,11732,11762,JPE,1957
0,11733,11763,QJE,1957
0,11734,11764,QJE,1957
0,11735,11765,QJE,1957
0,11736,11766,QJE,1957
0,11737,11767,QJE,1957
0,11738,11768,QJE,1957
0,11739,11769,QJE,1957
0,11740,11770,QJE,1957
0,11741,11771,QJE,1957
0,11742,11772,QJE,1957
0,11743,11773,QJE,1957
0,11744,11774,QJE,1957
0,11745,11775,QJE,1957
0,11746,11776,QJE,1957
0,11747,11777,QJE,1957
0,11748,11778,QJE,1957
0,11749,11779,QJE,1957
0,11750,11780,QJE,1957
0,11751,11781,QJE,1957
0,11752,11782,QJE,1957
0,11753,11783,QJE,1957
0,11754,11784,QJE,1957
0,11755,11785,QJE,1957
0,11756,11786,QJE,1957
0,11757,11787,QJE,1957
0,11758,11788,QJE,1957
0,11759,11789,QJE,1957
0,11760,11790,QJE,1957
0,11761,11791,QJE,1957
0,11762,11792,QJE,1957
0,11763,11793,QJE,1957
0,11764,11794,QJE,1957
0,11765,11795,RES,1957
0,11766,11796,RES,1957
0,11767,11797,RES,1957
0,11768,11798,RES,1957
0,11769,11799,RES,1957
0,11770,11800,RES,1957
0,11771,11801,RES,1957
0,11772,11802,RES,1957
0,11773,11803,RES,1957
0,11774,11804,RES,1957
0,11775,11805,RES,1957
0,11776,11806,RES,1957
0,11777,11807,RES,1957
0,11778,11808,RES,1957
0,11779,11809,RES,1957
0,11780,11810,RES,1957
0,11781,11811,RES,1957
0,11782,11812,RES,1957
0,11783,11813,RES,1957
0,11784,11814,RES,1957
0,11785,11815,RES,1957
0,11786,11816,RES,1957
0,11787,11817,RES,1957
0,11788,11818,RES,1957
0,11789,11819,RES,1957
0,11790,11820,RES,1957
0,11791,11821,RES,1957
0,11792,11822,RES,1957
0,11793,11823,RES,1957
0,11794,11824,RES,1957
0,11795,11825,RES,1957
0,11796,11826,RES,1957
0,11797,11827,RES,1957
0,11798,11828,RES,1957
0,11799,11829,RES,1957
0,11800,11830,RES,1957
0,11801,11831,RES,1957
0,11802,11832,RES,1957
0,11803,11833,RES,1957
0,11804,11834,RES,1957
0,11805,11835,RES,1957
0,11806,11836,RES,1957
0,11807,11837,AER,1956
0,11808,11838,AER,1956
0,11809,11839,AER,1956
0,11810,11840,AER,1956
0,11811,11841,AER,1956
0,11812,11842,AER,1956
0,11813,11843,AER,1956
0,11814,11844,AER,1956
0,11815,11845,AER,1956
0,11816,11846,AER,1956
0,11817,11847,AER,1956
0,11818,11848,AER,1956
0,11819,11849,AER,1956
0,11820,11850,AER,1956
0,11821,11851,AER,1956
0,11822,11852,AER,1956
0,11823,11853,AER,1956
0,11824,11854,AER,1956
0,11825,11855,AER,1956
0,11826,11856,AER,1956
0,11827,11857,AER,1956
0,11828,11858,AER,1956
0,11829,11859,AER,1956
0,11830,11860,AER,1956
0,11831,11861,AER,1956
0,11832,11862,AER,1956
0,11833,11863,AER,1956
0,11834,11864,AER,1956
0,11835,11865,AER,1956
0,11836,11866,AER,1956
0,11837,11867,AER,1956
0,11838,11868,AER,1956
0,11839,11869,AER,1956
0,11840,11870,AER,1956
0,11841,11871,AER,1956
0,11842,11872,AER,1956
0,11843,11873,AER,1956
0,11844,11874,AER,1956
0,11845,11875,AER,1956
0,11846,11876,AER,1956
0,11847,11877,AER,1956
0,11848,11878,AER,1956
0,11849,11879,AER,1956
0,11850,11880,AER,1956
0,11851,11881,AER,1956
0,11852,11882,AER,1956
